,DP05_0001E,state,county,tract,DP02_0001E,DP03_0062E,DP03_0063E,DP03_0119E
40,4236,17,031,030800,2167,96069,140143,-888888888
41,3076,17,031,030900,1481,102309,142833,-888888888
42,3652,17,031,031000,1984,121026,136611,-888888888
43,4898,17,031,031100,2861,79010,91863,-888888888
44,5936,17,031,031200,3457,24389,44581,-888888888
45,6853,17,031,031300,4502,64598,80177,-888888888
46,4685,17,031,031400,3087,82526,104864,-888888888
47,4640,17,031,031501,1996,48889,58597,-888888888
48,4622,17,031,031502,2445,47188,61339,-888888888
49,6119,17,031,031700,3107,84766,106922,-888888888
50,2114,17,031,031800,1041,80873,117380,-888888888
51,2417,17,031,031900,1338,93864,126033,-888888888
52,7279,17,031,032100,4207,69313,90588,-888888888
53,4011,17,031,040100,1875,93576,147901,-888888888
54,6688,17,031,040201,3012,99624,114770,-888888888
55,7965,17,031,040202,2908,58293,77380,-888888888
56,3063,17,031,040300,1149,86979,110847,-888888888
57,3431,17,031,040401,1469,107083,162852,-888888888
58,4581,17,031,040402,2533,94132,118802,-888888888
59,2785,17,031,040600,1283,97596,167954,-888888888
60,3749,17,031,040700,1676,105400,140480,-888888888
61,1577,17,031,040800,768,105500,146418,-888888888
62,2006,17,031,040900,1167,79803,127858,-888888888
63,2513,17,031,050100,1160,123929,174225,-888888888
64,5546,17,031,050200,2061,138546,222480,-888888888
65,2829,17,031,050300,1086,163625,214968,-888888888
66,5199,17,031,050500,1996,142548,228758,-888888888
67,2232,17,031,050600,1151,109188,185133,-888888888
68,1456,17,031,050700,671,125438,183216,-888888888
69,1398,17,031,050800,513,172888,246356,-888888888
70,1388,17,031,050900,608,130769,192994,-888888888
71,1707,17,031,051000,718,180500,235613,-888888888
72,1905,17,031,051100,727,159145,200710,-888888888
73,1576,17,031,051200,637,166771,235758,-888888888
74,3077,17,031,051300,1072,218403,278749,-888888888
75,2535,17,031,051400,1029,154044,205026,-888888888
76,3178,17,031,060100,1273,135272,245387,-888888888
77,2147,17,031,060200,1140,89167,166001,-888888888
78,2821,17,031,060300,1181,140125,204045,-888888888
79,3691,17,031,060400,1613,162011,205674,-888888888
80,1287,17,031,060500,695,54250,158485,-888888888
81,5319,17,031,060800,3598,81156,105194,-888888888
82,6943,17,031,060900,4795,83601,104703,-888888888
83,2324,17,031,061000,1109,127872,151759,-888888888
84,1436,17,031,061100,724,108158,141073,-888888888
85,2052,17,031,061200,869,109479,198330,-888888888
86,2023,17,031,061500,894,133000,183667,-888888888
87,1204,17,031,061800,735,69250,73182,-888888888
88,3517,17,031,061901,2593,61563,90295,-888888888
89,4938,17,031,061902,2916,86805,131037,-888888888
90,2890,17,031,062000,1644,110250,136870,-888888888
91,3646,17,031,062100,2009,99212,154347,-888888888
92,3152,17,031,062200,1274,198333,252381,-888888888
93,1609,17,031,062300,609,227750,351372,-888888888
94,1799,17,031,062400,762,162500,251048,-888888888
95,1420,17,031,062500,681,145903,194759,-888888888
96,2371,17,031,062600,934,195357,332165,-888888888
97,3046,17,031,062700,1331,151080,221030,-888888888
98,3682,17,031,062800,1504,166538,281006,-888888888
99,4138,17,031,062900,1901,159088,206670,-888888888
100,3280,17,031,063000,1836,104052,143860,-888888888
101,2352,17,031,063100,1386,99483,151514,-888888888
102,6380,17,031,063200,4413,81020,146398,-888888888
103,2992,17,031,063301,2032,66447,95110,-888888888
104,4102,17,031,063302,2769,94173,115270,-888888888
105,1198,17,031,063303,866,102500,164283,-888888888
106,2435,17,031,063400,1334,95833,151440,-888888888
107,4583,17,031,070101,2689,93523,165922,-888888888
108,2980,17,031,070102,1902,92641,202831,-888888888
109,1439,17,031,070103,1129,78125,86087,-888888888
110,4019,17,031,070200,2107,108083,162815,-888888888
111,3818,17,031,070300,1667,191051,243257,-888888888
112,3421,17,031,070400,1457,243795,334726,-888888888
113,3185,17,031,070500,1266,186757,286665,-888888888
