,CensusTract,LowIncomeTracts_2010,LowIncomeTracts_2015,LowIncomeTracts_2019,LATracts_half_2010,LATracts_half_2015,LATracts_half_2019
567,17031410800,0,1,1,0,0,0
568,17031410900,0,1,1,0,0,0
569,17031411000,1,0,0,0,0,1
570,17031411100,0,0,0,1,1,1
571,17031411200,0,0,0,0,0,0
572,17031420100,1,1,1,1,1,1
573,17031420200,1,1,1,1,1,1
574,17031420300,1,1,1,1,1,1
575,17031420400,1,1,1,0,0,0
576,17031420500,1,1,1,0,0,0
577,17031420600,1,1,1,0,0,0
578,17031420700,1,1,1,0,0,0
579,17031420800,1,1,1,0,0,0
580,17031421200,1,1,1,0,0,0
581,17031430101,1,1,1,1,1,1
582,17031430102,1,1,1,0,1,1
583,17031430200,1,1,1,1,0,1
584,17031430300,1,1,1,0,0,0
585,17031430400,1,1,1,0,0,0
586,17031430500,1,1,1,0,0,0
587,17031430600,1,1,1,0,1,1
588,17031430700,1,1,1,1,1,1
589,17031430800,1,1,1,0,1,1
590,17031430900,1,1,1,0,0,0
591,17031431200,0,0,1,1,1,1
592,17031431301,1,1,1,1,1,1
593,17031431302,1,1,1,1,1,1
594,17031431400,1,1,1,1,1,1
595,17031440101,1,1,1,1,1,1
596,17031440102,1,1,1,1,0,1
597,17031440201,1,1,1,1,1,1
598,17031440202,1,1,1,1,0,1
599,17031440300,1,0,1,0,0,0
600,17031440600,0,1,0,0,0,0
601,17031440700,0,1,1,1,0,1
602,17031440800,1,1,1,1,1,1
603,17031440900,1,1,1,1,1,1
604,17031450300,1,1,1,1,1,1
605,17031460100,1,1,1,1,1,1
606,17031460200,1,1,1,1,1,1
607,17031460301,1,1,1,1,0,0
608,17031460302,1,1,1,0,0,0
609,17031460400,0,1,1,1,1,1
610,17031460500,0,1,1,1,1,1
611,17031460600,1,1,1,1,0,0
612,17031460700,1,1,1,1,0,0
613,17031461000,1,1,1,1,0,0
614,17031470100,1,1,1,1,1,1
615,17031480100,0,0,0,1,1,1
616,17031480200,0,1,1,0,0,0
617,17031480300,1,1,1,1,1,1
618,17031480400,0,0,1,1,1,1
619,17031480500,1,1,1,1,1,1
620,17031490300,1,1,1,1,1,1
621,17031490400,1,0,1,1,1,1
622,17031490500,1,1,0,1,1,1
623,17031490600,1,1,1,1,1,1
624,17031490700,1,1,1,1,1,1
625,17031490800,1,1,1,0,0,0
626,17031490901,1,1,1,1,1,1
627,17031490902,1,1,1,1,1,1
628,17031491000,1,1,1,1,1,1
629,17031491100,1,1,0,1,1,1
630,17031491200,1,1,1,1,1,0
631,17031491300,1,1,1,1,1,1
632,17031491400,1,1,1,1,1,1
633,17031500100,1,1,1,1,1,1
634,17031500200,1,1,1,1,1,1
635,17031500300,1,1,1,1,1,1
636,17031510100,1,1,1,1,1,1
637,17031510200,1,1,1,1,1,1
638,17031510300,1,1,1,1,1,1
639,17031520100,1,1,1,1,0,1
640,17031520200,1,1,1,1,1,1
641,17031520300,1,1,1,1,1,0
642,17031520400,1,1,1,0,0,0
643,17031520500,0,0,1,1,1,1
644,17031520600,1,1,1,1,1,1
645,17031530100,1,1,1,1,1,1
646,17031530200,1,1,1,1,1,1
647,17031530300,1,1,1,0,0,0
648,17031530400,1,1,1,1,1,1
649,17031530501,1,1,1,1,1,1
650,17031530502,1,1,1,1,1,1
651,17031530503,0,1,1,1,1,1
652,17031530600,1,1,1,1,1,1
653,17031540101,1,1,1,1,1,1
654,17031540102,1,1,1,1,1,1
655,17031550100,0,1,1,1,1,1
656,17031550200,1,0,0,1,1,1
657,17031560100,1,1,0,1,1,1
658,17031560200,1,1,1,1,1,1
659,17031560300,1,1,1,1,1,1
660,17031560400,0,1,1,1,1,1
661,17031560700,1,0,0,0,0,0
662,17031560800,0,0,0,0,1,1
663,17031560900,0,0,0,1,1,1
664,17031561000,0,0,0,1,1,1
665,17031561100,0,0,0,1,1,1
666,17031570100,1,0,1,0,0,0
667,17031570200,0,0,1,0,0,0
668,17031570300,1,1,1,0,0,0
669,17031570400,1,1,1,0,0,0
670,17031570500,1,1,1,0,0,0
671,17031580100,1,1,1,1,1,1
672,17031580200,1,1,1,1,1,1
673,17031580300,1,1,1,1,0,0
674,17031580400,1,1,1,1,1,1
675,17031580501,1,1,1,1,0,0
676,17031580502,1,1,1,0,0,0
677,17031580600,1,1,1,1,1,1
678,17031580700,1,1,1,1,1,1
679,17031580800,1,1,1,1,1,1
680,17031590500,1,1,1,0,0,0
681,17031590600,1,1,1,0,0,0
682,17031590700,1,1,1,0,0,0
683,17031600400,1,1,1,0,0,0
684,17031600600,1,1,1,0,0,0
685,17031600700,1,1,1,0,0,0
686,17031600900,1,1,1,0,0,0
687,17031610300,1,1,1,0,0,0
688,17031610400,1,1,1,0,0,0
689,17031610800,0,0,1,0,0,0
690,17031611000,1,1,1,1,1,1
691,17031611100,1,1,1,0,1,1
692,17031611200,1,1,1,0,0,0
693,17031611300,1,1,1,0,0,0
694,17031611400,1,1,1,0,0,0
695,17031611500,1,1,1,0,0,0
696,17031611600,1,1,1,1,1,1
697,17031611700,1,1,1,0,0,0
698,17031611800,1,1,1,0,0,0
699,17031611900,1,1,1,1,1,1
700,17031612000,1,1,1,1,0,1
701,17031612100,1,1,1,1,1,1
702,17031620100,0,1,1,0,0,0
703,17031620200,1,1,1,0,0,1
704,17031620300,1,1,1,1,1,1
705,17031620400,1,1,0,0,0,0
706,17031630100,1,1,1,1,0,0
707,17031630200,1,1,1,1,0,1
708,17031630300,1,1,1,0,0,0
709,17031630400,1,1,1,0,0,0
710,17031630500,1,1,1,1,0,1
711,17031630800,1,1,1,0,0,0
712,17031630900,1,1,1,0,0,0
713,17031640100,1,1,1,0,0,0
714,17031640300,0,0,0,1,1,1
715,17031640400,0,0,0,0,0,0
716,17031640500,0,0,0,1,1,1
717,17031640600,1,1,1,1,1,1
718,17031640700,1,1,1,1,1,1
719,17031640800,0,1,1,0,0,0
